date,date,open,high,close,low,volume
2015-08-05,,3937.62,3962.28,3866.9,3858.66,200484269.0
2015-08-06,,3802.93,3888.69,3831.85,3793.24,147278694.0
2015-08-07,,3866.43,3926.65,3906.95,3857.91,183349153.0
2015-08-10,,3947.47,4101.73,4084.36,3932.84,306780540.0
2015-08-11,,4083.59,4110.13,4066.67,4042.0,322034191.0
2015-08-12,,4025.67,4078.03,4016.13,4015.35,255146196.0
2015-08-13,,4010.01,4075.7,4075.46,3967.82,242836979.0
2015-08-14,,4097.92,4113.16,4073.54,4056.73,253392996.0
2015-08-17,,4058.11,4081.77,4077.87,4009.99,256939638.0
2015-08-18,,4084.31,4103.05,3825.41,3816.55,319881070.0
2015-08-19,,3748.27,3898.74,3886.14,3668.19,269049839.0
2015-08-20,,3848.4,3880.82,3761.45,3761.45,212167965.0
2015-08-21,,3714.29,3757.78,3589.54,3578.18,217986403.0
2015-08-24,,3454.6,3468.15,3275.53,3266.55,255436652.0
2015-08-25,,3070.01,3200.11,3042.93,3019.56,276081306.0
2015-08-26,,3062.57,3192.93,3025.69,2952.01,308270623.0
2015-08-27,,3092.81,3206.72,3205.64,3028.4,267294930.0
2015-08-28,,3246.24,3353.24,3342.29,3223.62,299498426.0
2015-08-31,,3307.4,3368.28,3366.54,3205.54,280250403.0
2015-09-01,,3296.53,3370.5,3362.08,3190.58,352458528.0
2015-09-02,,3220.85,3387.02,3365.83,3213.64,347789412.0
2015-09-07,,3347.29,3422.23,3250.49,3240.24,204224431.0
2015-09-08,,3221.79,3340.22,3334.02,3170.81,154599631.0
2015-09-09,,3344.82,3426.65,3399.3,3330.29,220467421.0
2015-09-10,,3349.28,3398.32,3357.56,3337.31,144882971.0
2015-09-11,,3349.88,3383.13,3347.19,3315.48,108547508.0
2015-09-14,,3367.64,3373.92,3281.13,3187.57,205457251.0
2015-09-15,,3208.74,3240.08,3152.23,3131.98,143555641.0
2015-09-16,,3149.16,3345.92,3309.25,3131.37,159709994.0
2015-09-17,,3287.66,3354.91,3237.0,3237.0,169401881.0
2015-09-18,,3254.44,3280.88,3251.27,3227.83,106903481.0
2015-09-21,,3222.6,3312.55,3308.25,3211.93,122788668.0
2015-09-22,,3312.37,3371.41,3339.03,3303.18,146221985.0
2015-09-23,,3290.07,3315.94,3263.03,3253.33,123171439.0
2015-09-24,,3278.9,3300.86,3285.0,3255.9,102011238.0
2015-09-25,,3272.67,3290.86,3231.95,3201.91,121419278.0
2015-09-28,,3226.61,3246.55,3242.75,3186.51,74219468.0
2015-09-29,,3197.22,3208.42,3178.85,3159.04,87150633.0
2015-09-30,,3195.9,3223.91,3202.95,3186.77,78559349.0
2015-10-08,,3324.98,3337.33,3296.48,3294.6,132081768.0
2015-10-09,,3302.36,3352.38,3340.12,3293.97,124352500.0
2015-10-12,,3351.14,3486.63,3447.69,3347.25,221400468.0
2015-10-13,,3422.48,3452.04,3445.04,3413.97,145433786.0
2015-10-14,,3431.14,3458.7,3406.11,3403.23,152173938.0
2015-10-15,,3403.39,3486.81,3486.81,3402.32,171158299.0
2015-10-16,,3508.52,3537.54,3534.06,3487.1,208964709.0
2015-10-19,,3548.95,3573.0,3534.18,3502.5,207606744.0
2015-10-20,,3527.88,3577.8,3577.7,3510.44,179025108.0
2015-10-21,,3580.84,3601.24,3473.25,3417.41,282076050.0
2015-10-22,,3453.2,3530.77,3524.53,3442.31,184305580.0
2015-10-23,,3536.84,3581.84,3571.24,3515.82,198294478.0
